CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0097,0.5477225575051661,C0194,0.469668218313862,C0199,0.4381780460041329
C0002,C0030,0.37282185960072,C0091,0.3339135484518728,C0071,0.329914439536929
C0003,C0134,0.5199469468957452,C0181,0.5175973113765044,C0144,0.39999999999999997
C0004,C0070,0.4988876515698588,C0132,0.4381780460041328,C0063,0.3360672201667223
C0005,C0096,0.6482037235521645,C0055,0.5144957554275265,C0064,0.3328770246548891
C0006,C0058,0.6488856845230502,C0040,0.629511580291707,C0178,0.3746343246326776
C0007,C0020,0.5883484054145521,C0079,0.49613893835683387,C0026,0.36313651960128146
C0008,C0144,0.39223227027636803,C0088,0.33968311024337877,C0003,0.31378581622109447
C0009,C0140,0.560112033611204,C0162,0.5132649025747366,C0062,0.49507377148833714
C0010,C0033,0.48666426339228763,C0077,0.42479539524287324,C0094,0.40590605489504306
C0011,C0135,0.4841820261350419,C0120,0.3568206200700315,C0173,0.3307592922378892
C0012,C0164,0.4529108136578383,C0052,0.4086031347641993,C0173,0.3577708763999663
C0013,C0058,0.5345224838248488,C0040,0.5185629788417315,C0169,0.4409585518440985
C0014,C0128,0.8944271909999159,C0159,0.7844645405527362,C0136,0.46188021535170054
C0015,C0073,0.6324555320336758,C0036,0.6067798762169179,C0059,0.45683219257612856
C0016,C0187,0.6449020216370241,C0064,0.4611123341633879,C0145,0.3954372976473722
C0017,C0037,0.3988620176087328,C0071,0.38490017945975047,C0183,0.34570865256115424
C0018,C0177,0.3938927711338647,C0064,0.35665425149468194,C0081,0.35032452487268534
C0019,C0083,0.48989794855663565,C0064,0.4879954250643349,C0039,0.46475800154489
C0020,C0026,0.6172133998483676,C0007,0.5883484054145521,C0104,0.4886777774252209
